Tên phim,Link review,Thể loại,Ảnh
Phá Địa Ngục,https://www.momo.vn/cinema/the-last-dance-24198/review,Chính kịch,https://image.tmdb.org/t/p/w780/N3pqL3tOaG3cVGv1DMEwKulzdC.jpg
Lễ Trừ Tà,https://www.momo.vn/cinema/the-exorcists-23756/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/33661626958971318-mKABkaVXweZXWUrGfhvONnm5m1m.jpg
Tà Năng Phan Dũng,https://www.momo.vn/cinema/ta-nang-phan-dung-416/review,"Kinh dị, Phiêu lưu",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142229-637908997497368698.jpg
Cù Lao Xác Sống,https://www.momo.vn/cinema/lost-in-mekong-delta-804/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/80187507856383526-co-gi-moi-o-phim-zombie-dau-tien-tai-viet-nam-lost-in-mekong-delta-9dd-6275603.png
PAW Patrol: Phim Siêu Đẳng,https://www.momo.vn/cinema/paw-patrol-the-mighty-movie-23645/review,"Gia đình, Hài, Hoạt hình",https://cinema.momocdn.net/img/20013130993837262-fwXeTKmJvlv7kbH8QDmbykGfMeK.jpg
Thám Tử Lừng Danh Conan: Nàng Dâu Halloween (Chiếu lại),https://www.momo.vn/cinema/conan-the-detective-the-bride-of-halloween-699/review,"Bí ẩn, Hình sự, Hành động, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143142-637909003020510101.jpg
Tình Người Duyên Ma - Tái Hợp,https://www.momo.vn/cinema/kang-mak-24199/review,"Chiến tranh, Kinh dị, Hài, Lãng mạn",https://image.tmdb.org/t/p/w780/5gfPmQ4hHjyuRZ0HK0wwbRcNnfy.jpg
Kinh Cầu Ma,https://www.momo.vn/cinema/sana-23733/review,"Bí ẩn, Ma, Kinh dị",https://cinema.momocdn.net/img/29776348194868010-cCBVpqqFHavVJofPCTHFfQWTuV2.jpg
🌈 Lỗi Logic,https://www.momo.vn/cinema/semantic-error-825/review,"Chính kịch, Tình cảm, Lãng mạn",https://cinema.momocdn.net/img/83315402615938101-wiJJkVqJbt9a696NUDzc1gq0t1w.jpg
Quỷ Lùn Tinh Nghịch: Đồng Tâm Hiệp Nhạc,https://www.momo.vn/cinema/trolls-band-together-23560/review,"Gia đình, Âm Nhạc, Hài, Hoạt hình",https://cinema.momocdn.net/img/12753097886498485-kueIokSk4iVasBCI83ntzIvIhMH.jpg
Morbius,https://www.momo.vn/cinema/morbius-624/review,"Kinh dị, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142904-637909001446321279.jpg
Chúa Tể Của Những Chiếc Nhẫn: Sự Trở Lại Của Nhà Vua,https://www.momo.vn/cinema/the-lord-of-the-rings-the-return-of-the-king-23698/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/25379668322107554-9DeGfFIqjph5CBFVQrD6wv9S7rR.jpg
Lật Mặt: 48H,https://www.momo.vn/cinema/lat-mat-48h-88/review,"Hài, Hành động",https://cinema.momocdn.net/img/1952e8cb-5b1b-4ac8-854f-404cafc9c99a-4256160202198588.png
Biệt Đội Rất Ổn,https://www.momo.vn/cinema/biet-doi-rat-on-955/review,Hài,https://homepage.momocdn.net/cinema/momo-upload-api-230404153312-638162191929332477.jpeg
Biệt Đội Săn Ma: Kỷ Nguyên Băng Giá,https://www.momo.vn/cinema/ghostbusters-frozen-empire-23771/review,"Phiêu lưu, Giả tưởng, Hài",https://cinema.momocdn.net/img/35133717626778408-8uE04zwjNSwMCEDklVmFVL3hZyM.jpg
Nghi Thức Cấm,https://www.momo.vn/cinema/dont-look-at-the-demon-847/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/86859449221271820-qXelLqhJxs9eCyH6lMaEKuOMfJ5.jpg
M3GAN,https://www.momo.vn/cinema/m3gan-842/review,"Kinh dị, Khoa học - Viễn tưởng",https://cinema.momocdn.net/img/85815110347495274-m3gan.jpg
Đơn Hàng Từ Sát Nhân,https://www.momo.vn/cinema/dont-buy-the-seller-23639/review,Gay cấn,https://cinema.momocdn.net/img/19824366382506001-elqCaVi6Amkx5hzPsJ3Km5Ru3Yg.jpg
Phi Công Siêu Đẳng Maverick,https://www.momo.vn/cinema/top-gun-maverick-676/review,"Chính kịch, Gay cấn, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143102-637909002629241877.jpg
Muôn Vị Nhân Gian,https://www.momo.vn/cinema/muon-vi-nhan-gian-23767/review,"Chính kịch, Lãng mạn",https://cinema.momocdn.net/img/34880732656974055-nonn5GP1FcoqbQRuUWV7zOU8VLJ.jpg
Bộ Đôi Báo Thủ,https://www.momo.vn/cinema/ransomed-23626/review,"Chính kịch, Gay cấn",https://cinema.momocdn.net/img/18544496578355043-ewlNu82GwEI0PKeEEGL0dU5dMb3.jpg
Thử Thách #CáVoiXanh: Trò Chơi Kết Liễu,https://www.momo.vn/cinema/blue_whale-23598/review,"Chính kịch, Gay cấn, Kinh dị",https://cinema.momocdn.net/img/16196420912432153-sKdDC38FHuPvEsRgIzMEQE6ydol.jpg
Anh Em Super Mario,https://www.momo.vn/cinema/the-super-mario-bros-movie-884/review,"Gia đình, Phiêu lưu, Hài, Hoạt hình",https://cinema.momocdn.net/img/90491023891402651-tts9ZQimnTsWdR4bV6CNzY2AUkk.jpg
Kisaragi: Nhà Ga Nuốt Chửng,https://www.momo.vn/cinema/kisaragi-station-820/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/82694096514501992-q2hP45VWmimdiJzkrS7NCgc4n3e.jpg
Mến Gái Miền Tây,https://www.momo.vn/cinema/men-gai-mien-tay-657/review,Hài,https://homepage.momocdn.net/cinema/momo-cdn-api-220615143000-637909002003525954.jpg
Kị Sĩ Bóng Đêm (Chiếu lại),https://www.momo.vn/cinema/the-dark-knight-23668/review,"Gay cấn, Siêu anh hùng, Hành động",https://cinema.momocdn.net/img/22256305989032007-zWt4605lboHRBVNvRDBKwtZo2mf.jpg
Ngục Tối & Rồng: Danh Dự Của Kẻ Trộm,https://www.momo.vn/cinema/dungeons-dragons-honor-among-thieves-980/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hài",https://cinema.momocdn.net/img/7049991933204864-fh7aM10THQzivGU7kAkgKrgzot4.jpg
Mồ Tra Tấn,https://www.momo.vn/cinema/grave-torture-23945/review,"Chính kịch, Gay cấn, Kinh dị",https://cinema.momocdn.net/img/103828237886807441-fNdC4JaelTmDV6yQkebvmU11pX5.jpg
Bão Trắng 3: Thiên Đàng Hay Địa Ngục,https://www.momo.vn/cinema/the-white-storm-3-heaven-or-hell-23593/review,"Chính kịch, Trinh thám, Hình sự, Hành động",https://cinema.momocdn.net/img/15679894860146413-2a9DvjXQQezV0sWqJbIN2mDLgZZ.jpg
Tìm Kiếm Tài Năng Âm Phủ,https://www.momo.vn/cinema/dead-talents-society-24031/review,"Gay cấn, Kinh dị, Hài",https://cinema.momocdn.net/img/76654297896061832-uUJHyDdyNhq10HrvierKPYaYApI.jpg
Âm Dương Sư 0: Khởi Nguồn,https://www.momo.vn/cinema/onmyoji-zero-24022/review,"Bí ẩn, Giả tưởng",https://cinema.momocdn.net/img/53202041313001693-2HaDFdv70Dl31i3UeyCAHYHPVtF.jpg
Nobita và Những Bạn Khủng Long mới,https://www.momo.vn/cinema/doraemon-the-movie-nobitas-new-dinosaur-562/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142622-637908999823811720.jpg
Hoon Payon: Bùa Hình Nhân,https://www.momo.vn/cinema/hoon-payon-1003/review,"Gay cấn, Ma, Kinh dị",https://homepage.momocdn.net/cinema/momo-upload-api-230706144307-638242513872383446.jpeg
Totto Chan: Cô Bé Bên Cửa Sổ,https://www.momo.vn/cinema/totto-chan-the-little-girl-at-the-window-23828/review,"Chính kịch, Hoạt hình",https://cinema.momocdn.net/img/59073828641482875-bh257IZbvCcK8pjqgMaRSx9Tfzk.jpg
Tháng Tư Ngày Em Đến,https://www.momo.vn/cinema/april-come-she-will-23821/review,"Chính kịch, Bí ẩn, Lãng mạn",https://cinema.momocdn.net/img/59071763717371363-ryGO7obdOjmNs216MGEYEZqbFi0.jpg
Giao Lộ 8675,https://www.momo.vn/cinema/giao-lo-8675-23659/review,"Phiêu lưu, Hài, Hành động",https://cinema.momocdn.net/img/21565817925258389-640wx396h_2_.jpg
Harold và Cây Bút Phép Thuật,https://www.momo.vn/cinema/harold-and-the-purple-crayon-23833/review,"Gia đình, Phiêu lưu, Giả tưởng, Hài",https://cinema.momocdn.net/img/59076567542319758-wjxKcyLdYaxFV0wzR04g37gnjnh.jpg
IU CONCERT : Thời Khắc Quý Giá,https://www.momo.vn/cinema/iu-concert-the-golden-hour-23641/review,"Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/19913985344120558-f5FjEf3u4ybAKfqUainQwJhZPy2.jpg
Dinh Thự Ma Ám,https://www.momo.vn/cinema/haunted-mansion-23570/review,"Gia đình, Kinh dị, Hài",https://cinema.momocdn.net/img/12743744540886238-Als2QyqbLgT5G3rwTGJta8QQfqP.jpg
Ngôi Đền Kì Quái 3,https://www.momo.vn/cinema/pee-nak-3-660/review,"Kinh dị, Hài",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143021-637909002218393176.jpg
Chủng Tộc Bất Tử,https://www.momo.vn/cinema/eternals-573/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142648-637909000086832512.jpg
Godzilla Đại Chiến Kong,https://www.momo.vn/cinema/godzilla-vs-kong-87/review,"Gay cấn, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615135331-637908980115816738.jpg
"Hậu Duệ ""Tình Người Duyên Ma""",https://www.momo.vn/cinema/daeng-phra-khanong-680/review,"Ma, Kinh dị, Hài",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143109-637909002693653405.jpg
Đền Mạng,https://www.momo.vn/cinema/mei-the-cursed-23768/review,Kinh dị,https://cinema.momocdn.net/img/34884875700419697-16x9.jpg
Bơi Đêm,https://www.momo.vn/cinema/night-swim-23750/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/32118020697834098-klb3yODwKMRle19EcvdeSatEZL7.jpg
Cuộc Chiến Đa Vũ Trụ,https://www.momo.vn/cinema/everything-everywhere-all-at-once-772/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-upload-api-220615151719-637909030397855911.jpg
Ngày Tàn Của Đế Quốc,https://www.momo.vn/cinema/civil-war-23778/review,"Chính kịch, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/36684060595357007-l02SyGL4QaRAy000ZY28IlSiBOx.jpg
Fanti,https://www.momo.vn/cinema/fanti-23577/review,"Chính kịch, Gay cấn, Tâm lý",https://cinema.momocdn.net/img/13270283534455600-d51iFMkUTpWl9c2tjCXDO7nt8pA.jpg
Domino: Lối Thoát Cuối Cùng,https://www.momo.vn/cinema/domino-loi-thoat-cuoi-cung-24056/review,"Tội phạm, Tâm lý, Hành động",https://cinema.momocdn.net/img/108639439927406933-Capture-2024-10-05-234345.png
Live - #pháttrựctiếp,https://www.momo.vn/cinema/live-phattructiep-23642/review,"Tâm lý, Kinh dị",https://cinema.momocdn.net/img/19913476282457651-ngoc-phuoc-16891609463091409330535.jpg
Luyện Ngải: Cô Hồn Dã Quỷ,https://www.momo.vn/cinema/geji-the-spirit-hunter-23845/review,Kinh dị,https://cinema.momocdn.net/img/9745238633977715-njYfxaWy19nMMavhq7qPkHccA3u.jpg
Đấu Trường Muôn Thú,https://www.momo.vn/cinema/arca-de-noe-23747/review,"Âm Nhạc, Hài, Hoạt hình",https://cinema.momocdn.net/img/32108358298571898-9QTmkyEZzI4EiDo2iGf70STcX0k.jpg
Trú Quỷ: Truyền Thuyết Ma Kéo Giò,https://www.momo.vn/cinema/resort-parttime-job-23734/review,Kinh dị,https://cinema.momocdn.net/img/29777856526083750-640x396_7_.jpg
Ivanna: Hồn Ma Không Đầu,https://www.momo.vn/cinema/ivanna-813/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/81594635093129802-4DDKUnw63RXdz9MOm3bTkbaMwV5.jpg
Tết Âm Hồn,https://www.momo.vn/cinema/sengkolo-malam-satu-suro-24140/review,Kinh dị,https://image.tmdb.org/t/p/w780/vriMtND9PhI7lBQI6n0yUsJ6msP.jpg
Dân Chơi Không Sợ Con Rơi,https://www.momo.vn/cinema/senior-playboy-junior-papa-776/review,"Gia đình, Hài",https://cinema.momocdn.net/img/76224770258799028-nqp5699-3475.jpg
Thảm Kịch Dị Giáo,https://www.momo.vn/cinema/longlegs-24025/review,"Gay cấn, Kinh dị, Hình sự",https://cinema.momocdn.net/img/76228489181137515-lkmkNVFGsRVKZs1MqKbE6zabXc4.jpg
Đế Chế Napoleon,https://www.momo.vn/cinema/napoleon-23702/review,"Chiến tranh, Lịch sử, Tài liệu",https://cinema.momocdn.net/img/25888959510939806-wOYDsD7WIKsz5DtrnjsvCcEyFJa.jpg
Đả Nữ Báo Thù,https://www.momo.vn/cinema/revoler-23908/review,"Chính kịch, Hình sự",https://cinema.momocdn.net/img/14495305120223264-89i65Rst6hO0kbx1GFjqp4F6hH8.jpg
Hạnh Phúc Máu,https://www.momo.vn/cinema/hanh-phuc-mau-876/review,"Gia đình, Bí ẩn, Giật gân",https://cinema.momocdn.net/img/89434526903419766-Hanh-phuc-mau-review.png
Vòng Vây Cá Mập,https://www.momo.vn/cinema/no-way-up-23739/review,"Gay cấn, Kinh dị, Hành động",https://cinema.momocdn.net/img/31342277091538500-mDeUmPe4MF35WWlAqj4QFX5UauJ.jpg
65: Trận Chiến Thời Tiền Sử,https://www.momo.vn/cinema/65-946/review,"Gay cấn, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/2906166870445402-jXf9hWuLxBilWqUmWlMg542IOpi.jpg
NCT NATION: Vươn Tầm Thế Giới,https://www.momo.vn/cinema/nct-nation-to-the-world-23704/review,"Âm Nhạc, Tài liệu",https://cinema.momocdn.net/img/25890223979920645-tcPgWtAGHdrU1PYTRV1hx2w1KfO.jpg
Đấu Trường Âm Nhạc 2,https://www.momo.vn/cinema/sing-2-602/review,"Gia đình, Âm Nhạc, Hài, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142749-637909000694778486.jpg
Cú Máy Ăn Tiền,https://www.momo.vn/cinema/cobweb-23661/review,"Chính kịch, Hài",https://cinema.momocdn.net/img/21642018993759174-uId66x2NKI9gBbcpGDi1krtN3pz.jpg
Quái Vật Sông Mekong,https://www.momo.vn/cinema/the-lake-826/review,"Chính kịch, Gay cấn, Kinh dị, Khoa học - Viễn tưởng",https://cinema.momocdn.net/img/83315676653104853-cvHEMN1NW2Re02kH90847YML2gu.jpg
Mèo Ma Bê Tha,https://www.momo.vn/cinema/ghost-cat-anzu-24138/review,"Chính kịch, Gia đình, Giả tưởng, Hài, Hoạt hình",https://cinema.momocdn.net/img/112407547746226929-oZMpjEvO19ILidHNmRn1QTkXgpQ.jpg
Encanto: Vùng Đất Thần Kỳ,https://www.momo.vn/cinema/encanto-609/review,"Gia đình, Âm Nhạc, Hài, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142813-637909000933682839.jpg
Phi Vụ Nghìn Cân,https://www.momo.vn/cinema/hitpig-24219/review,"Gia đình, Phiêu lưu, Hài, Hoạt hình",https://image.tmdb.org/t/p/w780/ownr1JeuYB4Xnlcl2la88c3CE3z.jpg
Hào Quang Đẫm Máu,https://www.momo.vn/cinema/wannabe-23794/review,Gay cấn,https://cinema.momocdn.net/img/36871373869124817-hakdpttJbkr1hqyfiZZngu6TeIV.jpg
Những Kẻ Theo Dõi,https://www.momo.vn/cinema/the-watchers-23850/review,"Gay cấn, Bí ẩn, Kinh dị",https://cinema.momocdn.net/img/44792013192883368-oZDRuGHhe5uY8wBqFJcJZT9kdvJ.jpg
Tà Khúc Triệu Vong,https://www.momo.vn/cinema/the-sin-23803/review,"Bí ẩn, Kinh dị",https://cinema.momocdn.net/img/51587684845048445-srdnVUKIlRtPKSNGGQsezrn2PtP.jpg
Thợ Săn Quái Vật,https://www.momo.vn/cinema/monster-hunter-491/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142416-637908998565489489.jpg
Đại Chiến Noryang: Biển Chết,https://www.momo.vn/cinema/noryang-deadly-sea-23742/review,"Chính kịch, Chiến tranh, Lịch sử, Hành động",https://cinema.momocdn.net/img/30726537367720960-jixQ4CzR3fJIseAwoDozZCxWqOE.jpg
13 Nghi Thức Trừ Tà,https://www.momo.vn/cinema/13-exorcismos-950/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/2992441914573562-rvFeNpYimvtEEZgkhiBfXJA5oTf.jpg
Avatar,https://www.momo.vn/cinema/avatar-812/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/81593612680059158-sfw4m2tOgQRzhF6VXxaXGfd1vX.jpg
"Đường Hầm Tới Mùa Hạ, Lối Thoát Của Biệt Ly",https://www.momo.vn/cinema/tunnel-to-summer-23710/review,"Chính kịch, Khoa học - Viễn tưởng, Tình cảm, Hoạt hình",https://cinema.momocdn.net/img/26477720372323435-9ija3FGgnpqNfIXlaeQ7Tp8gITY.jpg
Mộng Du,https://www.momo.vn/cinema/sleep-23660/review,"Bí ẩn, Tâm lý, Kinh dị",https://cinema.momocdn.net/img/21570033896460887-8kgfR6KwCwc6WA2AY1wqBXkYpEy.jpg
Những Đứa Trẻ Trong Sương,https://www.momo.vn/cinema/nhung-dua-tre-trong-suong-960/review,Tài liệu,https://cinema.momocdn.net/img/4386653703251360-seTn1MqKEArbwnqQLVq5HUCjlNz.jpg
Trốn Tìm Với Quỷ,https://www.momo.vn/cinema/all-fun-and-games-23740/review,"Gay cấn, Giật gân, Kinh dị",https://cinema.momocdn.net/img/31244241095295075-pGVvtVPz7Hwe9MTAtMdLMHnjFGi.jpg
Quỷ Dữ,https://www.momo.vn/cinema/monster-23585/review,"Chính kịch, Tâm lý",https://cinema.momocdn.net/img/15010783549222253-vAsxVpXP53cMSsD9u4EekQKz4ur.jpg
Gia Đình Hoàn Hảo,https://www.momo.vn/cinema/a-normal-family-24179/review,Chính kịch,https://image.tmdb.org/t/p/w780/xqdtTCl1xoLgWnzFCBQ0vv4iSmR.jpg
Panda Đại Náo Lãnh Địa Vua Sư Tử,https://www.momo.vn/cinema/panda-bear-in-africa-23810/review,"Gia đình, Phiêu lưu, Hài, Hoạt hình",https://cinema.momocdn.net/img/57932034131954815-wRPUgBgwnWwNqpw7lhqeIE2suxG.jpg
Dune: Hành Tinh Cát (Chiếu lại),https://www.momo.vn/cinema/dune-571/review,"Drama, Phiêu lưu, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142645-637909000055362076.jpg
Ước Nguyện 10 Năm,https://www.momo.vn/cinema/the-last-10-years-23600/review,"Chính kịch, Tâm lý, Tình cảm, Lãng mạn",https://cinema.momocdn.net/img/16195833438422373-4uij4drUitClyXihCyQJSklXvvv.jpg
Nếu Gặp Lại Em Trên Ngọn Đồi Hoa Nở,https://www.momo.vn/cinema/till-we-meet-again-on-the-lily-hill-23857/review,"Chiến tranh, Lãng mạn",https://cinema.momocdn.net/img/100220139960736587-640x396-lilyhill.jpg
Bẫy Nuốt Mạng,https://www.momo.vn/cinema/the-plot-23851/review,"Gay cấn, Hình sự",https://cinema.momocdn.net/img/44806037386522092-lVJU5ymNPhxBFEnscvOJ9GrIkjv.jpg
Tokyo MER: Chìm Trong Biển Lửa,https://www.momo.vn/cinema/tokyo-mer-mobile-emergency-room-23741/review,"Chính kịch, Gay cấn, Thảm hoạ",https://cinema.momocdn.net/img/30727319119663216-418498895_800449032121869_2696795144207557101_n.jpg
Ánh Dương Sau Hoàng Hôn,https://www.momo.vn/cinema/after-sundown-23644/review,"Kinh dị, Lãng mạn",https://cinema.momocdn.net/img/19913160413475640-k68T0FOm1UnhBmyrlt5JK0FbMYD.jpg
Ba Đêm Kinh Hoàng,https://www.momo.vn/cinema/three-terrified-nights-23910/review,"Gay cấn, Bí ẩn, Kinh dị",https://cinema.momocdn.net/img/14494932033485590-Ahap9ldDXgC8XIQpabZrznXvRzv.jpg
Tu Viện Máu,https://www.momo.vn/cinema/immaculate-23804/review,"Bí ẩn, Kinh dị",https://cinema.momocdn.net/img/51599944804815405-2V0Ka1r9cuui7ZoUNFXfnxsAfm2.jpg
Dê Hiệp Sĩ và 7 Báu Vật Hoàng Gia,https://www.momo.vn/cinema/out-of-the-nest-24216/review,"Chính kịch, Gia đình, Hoạt hình",https://image.tmdb.org/t/p/w780/b0UjEy4bsJObR0ulfASaiWTcodO.jpg
Thanh Tra Sát Nhân,https://www.momo.vn/cinema/devils-23583/review,"Gay cấn, Hình sự",https://cinema.momocdn.net/img/14898924028107392-7HZILeRJhSAaN0sJl3vVW06Ck53.jpg
Jailangkung: Búp Bê Gọi Hồn,https://www.momo.vn/cinema/jailangkung-sandekala-872/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/89450032937632229-85iX98ZuyDKBVJLgeEFmdCQ8Pps.jpg
Án Mạng Trên Sông Nile,https://www.momo.vn/cinema/death-on-the-nile-600/review,"Gay cấn, Bí ẩn, Trinh thám, Hình sự",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142746-637909000665362304.jpg
Xa Ngoài Kia Nơi Loài Tôm Hát,https://www.momo.vn/cinema/where-the-crawdads-sing-698/review,"Bí ẩn, Chính kịch",https://homepage.momocdn.net/cinema/momo-cdn-api-220615143140-637909003004596087.jpg
Loài Mèo Trả Ơn,https://www.momo.vn/cinema/the-cat-returns-2002-24205/review,"Chính kịch, Gia đình, Phiêu lưu, Hoạt hình",https://image.tmdb.org/t/p/w780/uIF0sIkLTc7BHB0WZ6Cl0dDwd5z.jpg
Những Người Bạn Tưởng Tượng,https://www.momo.vn/cinema/if-23773/review,"Chính kịch, Gia đình, Giả tưởng, Hài, Hoạt hình",https://cinema.momocdn.net/img/35217511834906838-h47vT6X82WlHoAcQpyhPW6I3gSj.jpg
Ma Lai Rút Ruột,https://www.momo.vn/cinema/inhuman-kiss-986/review,"Chính kịch, Ma, Kinh dị, Khoa học - Viễn tưởng",https://cinema.momocdn.net/img/7391179876377590-y5FnpKxnKXiMt7zoyc0fzBnTa3W.jpg
Lúc Đó Tôi Đã Chuyển Sinh Thành Slime,https://www.momo.vn/cinema/that-time-i-got-reincarnated-as-a-slime-scarlet-bond-943/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hoạt hình",https://cinema.momocdn.net/img/2297702185083792-qAatLCuRhvLyNJbH5IGmxLyU3tx.jpg
An Lạc,https://www.momo.vn/cinema/kan-kaung-24079/review,Chính kịch,https://cinema.momocdn.net/img/57964839630367756-7ntvtqf2P9C4NECzkf9UOK0S0Jp.jpg
Titanic,https://www.momo.vn/cinema/titanic-919/review,"Chính kịch, Lãng mạn",https://cinema.momocdn.net/img/397109910465032-yDI6D5ZQh67YU4r2ms8qcSbAviZ.jpg
Hellboy: Đại Chiến Quỷ Dữ,https://www.momo.vn/cinema/hellboy-the-crooked-man-24018/review,"Kinh dị, Giả tưởng",https://cinema.momocdn.net/img/53204152079999654-fCcQODM4uk3SERDjmXDxls0pMIp.jpg
Tiếng Yêu Không Lời,https://www.momo.vn/cinema/silent-love-23766/review,"Chính kịch, Lãng mạn",https://cinema.momocdn.net/img/34862271790817410-mhZqit1tbYLE1Dmrp1CIIqk4Xgu.jpg
Môn Phái Võ Mèo: Huyền Thoại Một Chú Chó,https://www.momo.vn/cinema/paws-of-fury-the-legend-of-hank-802/review,"Gia đình, Hài, Hành động",https://cinema.momocdn.net/img/79669879927822392-irDiMv0ddrr2evxntiEje9B1t1U.jpg
Gia Đình Croods: Kỷ Nguyên Mới,https://www.momo.vn/cinema/the-croods-a-new-age-527/review,"Gia đình, Phiêu lưu, Khoa học - Viễn tưởng, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142510-637908999106739783.jpg
Marita: Vong Nữ Đoạt Hồn,https://www.momo.vn/cinema/marita-23765/review,Kinh dị,https://cinema.momocdn.net/img/34859193406172426-b0Nu33h597j4CO3LW2RaKFSRdpy.jpg
Tháp Cương Thi,https://www.momo.vn/cinema/possession-street-24212/review,Kinh dị,https://cinema.momocdn.net/img/31246033025208148-thapcuongthibanner.jpeg?size=L
Man Suang: Kỳ Án Nhà Hát Thiên Đường,https://www.momo.vn/cinema/man-suang-23650/review,"Chính kịch, Bí ẩn, Lịch sử",https://cinema.momocdn.net/img/20452099771429194-kmOF2tZo88FBJBFE1cUUOLnDWii.jpg
Đảo Tội Ác,https://www.momo.vn/cinema/pulau-964/review,"Kinh dị, Phiêu lưu",https://homepage.momocdn.net/cinema/momo-upload-api-230404153209-638162191294383925.jpeg
Những Kẻ Xấu Xa,https://www.momo.vn/cinema/the-bad-guys-643/review,"Gia đình, Hành động, Hoạt hình",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142925-637909001651149340.jpg
Đầu Gấu Đụng Đầu Đất,https://www.momo.vn/cinema/bearman-978/review,"Hài, Hành động",https://cinema.momocdn.net/img/6704916054765301-unT5IUqiZgqcGyjcOMxomdxQOMj.jpg
Đoàn Tàu Cõi Âm,https://www.momo.vn/cinema/the-train-of-death-23823/review,"Gay cấn, Kinh dị",https://cinema.momocdn.net/img/59072057236781191-3E7DHntQkwvTeChrtT2GAYN9pbi.jpg
Mồi Quỷ Dữ,https://www.momo.vn/cinema/prey-for-the-devil-794/review,"Gay cấn, Ma, Kinh dị",https://homepage.momocdn.net/cinema/momo-upload-api-220717190655-637936816157043002.jpeg
Vong Hồn Rước Lễ,https://www.momo.vn/cinema/communion-girl-959/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/4186614890981939-54IXMMEQKlkPXHqPExWy98UBmtE.jpg
SUGA: Road to D-DAY (Chiếu lại),https://www.momo.vn/cinema/suga-road-to-dday-1009/review,"Âm Nhạc, Tài liệu",https://homepage.momocdn.net/cinema/momo-upload-api-230707152047-638243400474715682.jpg
Bẫy,https://www.momo.vn/cinema/trap-23832/review,"Gay cấn, Kinh dị, Hình sự",https://cinema.momocdn.net/img/59076793377993903-fSLrQ0TyUYeoF1bhB8g9hORBQZk.jpg
Ma Sơ Trục Quỷ,https://www.momo.vn/cinema/la-exorcista-23572/review,"Ma, Kinh dị",https://cinema.momocdn.net/img/12743128760119019-u5nY7pY2Y58o7dSM9cy6NclOV8V.jpg
Học Viện Anh Hùng: You're Next,https://www.momo.vn/cinema/my-hero-academia-youre-next-24093/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://cinema.momocdn.net/img/51163953442734052-hd1TvTUGjkoYoqvXYfSBpI5Ri9B.jpg
Bạn Không Thân,https://www.momo.vn/cinema/not-friends-23703/review,"Chính kịch, Hài",https://cinema.momocdn.net/img/25888778939670095-fvUWuX1S9CPd3ojPj2TvY371ln9.jpg
Vô Diện Sát Nhân,https://www.momo.vn/cinema/vo-dien-sat-nhan-810/review,"Gay cấn, Tâm lý, Kinh dị",https://cinema.momocdn.net/img/80376219538772557-1-5004.png
Xe Cấp Cứu,https://www.momo.vn/cinema/ambulance-645/review,"Gay cấn, Hình sự, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142928-637909001686261188.jpg
